"title","rent_duration_day","rent_amount"
"Working Microcosmos","5","9"
"Graffiti Love","4","8"
"Color Philadelphia","8","8"
"Frost Head","7","8"
"Massacre Usual","8","8"
"Saturday Lambs","4","8"
"Fiction Christmas","6","8"
"Torque Bound","1","7"
"Darn Forrester","6","7"
"Grit Clockwork","5","7"
"Insects Stone","1","7"
"Bingo Talented","8","7"
"Knock Warlock","4","7"
"Chocolat Harry","8","7"
"Juggler Hardly","6","7"
"Closer Bang","7","7"
"Voyage Legally","6","7"
"Willow Tracy","4","7"
"Deer Virginian","4","7"
"Easy Gladiator","7","7"
"Strangelove Desire","7","7"
"Alamo Videotape","6","7"
"Wolves Desire","3","7"
"Clash Freddy","5","7"
"Trading Pinocchio","7","7"
"Sleuth Orient","5","7"
"Sweethearts Suspects","8","7"
"Hobbit Alien","8","7"
"Gleaming Jawbreaker","7","7"
"Primary Glass","1","7"
"Barbarella Streetcar","3","7"
"Butterfly Chocolat","8","7"
"Chance Resurrection","5","7"
"Contact Anonymous","4","6"
"Virginian Pluto","2","6"
"Horn Working","1","6"
"Mockingbird Hollywood","2","6"
"Suspects Quills","6","6"
"Northwest Polish","7","6"
"Operation Operation","4","6"
"Flamingos Connecticut","3","6"
"Grit Clockwork","3","6"
"Joon Northwest","2","6"
"Pacific Amistad","1","6"
"Bucket Brotherhood","8","6"
"Wind Phantom","1","6"
"Lock Rear","2","6"
"Roman Punk","5","6"
"Escape Metropolis","6","6"
"Goldfinger Sensibility","1","6"
"Cat Coneheads","5","6"
"Alter Victory","5","6"
"Notorious Reunion","8","6"
"Uncut Suicides","7","6"
"Chill Luck","5","6"
"Brooklyn Desert","8","6"
"Hours Rage","2","6"
"Bull Shawshank","5","6"
"Fantasy Troopers","4","6"
"Whisperer Giant","6","6"
"Disturbing Scarface","4","6"
"Attraction Newton","1","6"
"Shock Cabin","5","6"
"Strictly Scarface","5","6"
"Hustler Party","7","6"
"Badman Dawn","7","6"
"Murder Antitrust","5","6"
"Graffiti Love","1","6"
"Blade Polish","1","6"
"Hunchback Impossible","7","6"
"Taxi Kick","3","6"
"Newton Labyrinth","4","6"
"Dancing Fever","8","6"
"Greatest North","5","6"
"Center Dinosaur","1","6"
"Handicap Boondock","2","6"
"Robbers Joon","1","6"
"Forward Temple","2","6"
"Durham Panky","4","6"
"Muscle Bright","1","6"
"Frost Head","8","6"
"Hurricane Affair","5","6"
"Apache Divine","3","6"
"Cleopatra Devil","7","6"
"Bill Others","3","6"
"Sea Virgin","6","6"
"Storm Happiness","3","6"
"Giant Troopers","1","6"
"Wait Cider","7","6"
"Shepherd Midsummer","3","6"
"Chance Resurrection","4","6"
"Malkovich Pet","3","6"
"Wardrobe Phantom","3","6"
"Backlash Undefeated","7","6"
"Wife Turn","5","6"
"Suspects Quills","5","6"
"Westward Seabiscuit","7","6"
"Madness Attacks","4","6"
"Driving Polish","5","6"
"Streetcar Intentions","7","6"
"Rocketeer Mother","3","6"
"Innocent Usual","7","6"
"Arachnophobia Rollercoaster","5","6"
"Fellowship Autumn","7","6"
"Enemy Odds","7","6"
"Bucket Brotherhood","2","6"
"Trip Newton","1","6"
"Idols Snatchers","6","5"
"English Bulworth","5","5"
"Escape Metropolis","1","5"
"Saddle Antitrust","6","5"
"Network Peak","6","5"
"Tomorrow Hustler","2","5"
"Coldblooded Darling","8","5"
"Fish Opus","7","5"
"Loser Hustler","6","5"
"Pulp Beverly","2","5"
"Juggler Hardly","2","5"
"Spy Mile","2","5"
"Garden Island","6","5"
"Cat Coneheads","4","5"
"Hysterical Grail","6","5"
"Hamlet Wisdom","7","5"
"Lies Treatment","8","5"
"Coma Head","4","5"
"Pajama Jawbreaker","3","5"
"Flight Lies","8","5"
"Confidential Interview","4","5"
"Seabiscuit Punk","4","5"
"Effect Gladiator","7","5"
"Rush Goodfellas","3","5"
"Wrong Behavior","2","5"
"Lady Stage","8","5"
"Bingo Talented","1","5"
"Drifter Commandments","2","5"
"Eyes Driving","2","5"
"Tracy Cider","3","5"
"Sunrise League","2","5"
"Goldmine Tycoon","8","5"
"Affair Prejudice","3","5"
"Range Moonwalker","2","5"
"Giant Troopers","4","5"
"Sassy Packer","5","5"
"Trouble Date","6","5"
"English Bulworth","4","5"
"Spice Sorority","3","5"
"Whale Bikini","7","5"
"Purple Movie","1","5"
"Invasion Cyclone","1","5"
"Range Moonwalker","8","5"
"Half Outfield","4","5"
"League Hellfighters","3","5"
"Vacation Boondock","2","5"
"Zorro Ark","4","5"
"Anaconda Confessions","5","5"
"Sun Confessions","4","5"
"Dogma Family","5","5"
"Dream Pickup","4","5"
"Sleeping Suspects","2","5"
"African Egg","7","5"
"Blade Polish","6","5"
"Searchers Wait","5","5"
"Pure Runner","5","5"
"Watch Tracy","1","5"
"Network Peak","7","5"
"Human Graffiti","5","5"
"Hustler Party","6","5"
"Coma Head","6","5"
"Lose Inch","2","5"
"Arizona Bang","1","5"
"Borrowers Bedazzled","6","5"
"Moon Bunch","3","5"
"Princess Giant","8","5"
"Story Side","1","5"
"Quest Mussolini","1","5"
"Harry Idaho","6","5"
"Divide Monster","6","5"
"Scalawag Duck","4","5"
"Attraction Newton","2","5"
"Fool Mockingbird","2","5"
"Basic Easy","4","5"
"Boogie Amelie","2","5"
"Lola Agent","3","5"
"Metropolis Coma","8","5"
"Barbarella Streetcar","7","5"
"Confidential Interview","8","5"
"Enough Raging","6","5"
"Bound Cheaper","6","5"
"Princess Giant","4","5"
"Core Suit","6","5"
"Sleeping Suspects","5","5"
"Married Go","4","5"
"Oz Liaisons","4","5"
"Muscle Bright","5","5"
"Idols Snatchers","2","5"
"Sun Confessions","7","5"
"Atlantis Cause","1","5"
"Empire Malkovich","6","5"
"Innocent Usual","1","5"
"Name Detective","8","5"
"Sleeping Suspects","8","5"
"Dracula Crystal","3","5"
"Lola Agent","5","5"
"Heartbreakers Bright","5","5"
"Banger Pinocchio","6","5"
"Go Purple","4","5"
"Grapes Fury","7","5"
"Butterfly Chocolat","5","5"
"Divide Monster","5","5"
"Ridgemont Submarine","7","5"
"Gleaming Jawbreaker","8","5"
"Reds Pocus","8","5"
"Karate Moon","6","5"
"Charade Duffel","7","5"
"Tracy Cider","4","5"
"Pittsburgh Hunchback","6","5"
"Sweethearts Suspects","3","5"
"Affair Prejudice","7","5"
"Secret Groundhog","4","5"
"Rings Heartbreakers","6","5"
"Loathing Legally","4","5"
"Secrets Paradise","7","5"
"Idols Snatchers","3","5"
"Evolution Alter","6","5"
"Analyze Hoosiers","7","5"
"Yentl Idaho","5","5"
"Telegraph Voyage","7","5"
"Truman Crazy","2","5"
"Necklace Outbreak","3","5"
"Ridgemont Submarine","6","5"
"Wrong Behavior","5","5"
"French Holiday","3","5"
"Expendable Stallion","7","5"
"Factory Dragon","1","5"
"Sleuth Orient","1","5"
"Blackout Private","0","5"
"Jekyll Frogmen","1","5"
"Nightmare Chill","4","5"
"Details Packer","8","5"
"Shakespeare Saddle","7","5"
"Redemption Comforts","8","5"
"Deer Virginian","3","5"
"Harry Idaho","8","5"
"Fantasia Park","5","5"
"Spy Mile","4","5"
"Requiem Tycoon","0","5"
"Spinal Rocky","7","5"
"Pity Bound","7","5"
"Groove Fiction","7","5"
"Bonnie Holocaust","1","5"
"Apache Divine","5","5"
"Prejudice Oleander","5","5"
"Encino Elf","3","5"
"Coneheads Smoochy","8","5"
"Vacation Boondock","7","5"
"Orient Closer","4","5"
"Impact Aladdin","7","5"
"Scorpion Apollo","2","5"
"Command Darling","8","5"
"Timberland Sky","8","5"
"Hyde Doctor","1","5"
"Rage Games","1","5"
"Titans Jerk","8","5"
"Shootist Superfly","5","5"
"Campus Remember","8","5"
"Basic Easy","1","5"
"Alaska Phantom","3","5"
"Kiss Glory","4","5"
"Ice Crossing","2","5"
"Harper Dying","5","5"
"Bear Graceland","4","5"
"Clueless Bucket","7","5"
"Witches Panic","7","5"
"Story Side","2","5"
"Candidate Perdition","7","5"
"Titanic Boondock","2","5"
"Robbers Joon","8","5"
"Stagecoach Armageddon","6","5"
"Money Harold","8","5"
"Telegraph Voyage","8","5"
"Nightmare Chill","7","5"
"Motions Details","1","5"
"Stagecoach Armageddon","1","5"
"Jungle Closer","9","5"
"Scarface Bang","4","5"
"Invasion Cyclone","5","5"
"Metal Armageddon","8","5"
"Jumping Wrath","6","5"
"Snatch Slipper","5","5"
"Brotherhood Blanket","7","5"
"Requiem Tycoon","7","5"
"Women Dorado","3","5"
"Flatliners Killer","4","5"
"Jacket Frisco","8","5"
"Dancing Fever","4","5"
"Expendable Stallion","5","5"
"Jaws Harry","5","5"
"Half Outfield","7","5"
"Show Lord","5","5"
"Fireball Philadelphia","5","5"
"Spy Mile","5","5"
"Hills Neighbors","8","5"
"Dinosaur Secretary","7","5"
"Balloon Homeward","5","5"
"Family Sweet","2","5"
"None Spiking","5","5"
"Vanishing Rocky","2","5"
"Forrester Comancheros","4","5"
"Loathing Legally","3","5"
"Oscar Gold","2","5"
"Dream Pickup","1","5"
"Tramp Others","4","5"
"Bowfinger Gables","1","5"
"Resurrection Silverado","6","5"
"Tights Dawn","7","4"
"Princess Giant","5","4"
"Lies Treatment","4","4"
"Graffiti Love","6","4"
"Gentlemen Stage","5","4"
"Kane Exorcist","5","4"
"Agent Truman","7","4"
"Nash Chocolat","8","4"
"Videotape Arsenic","5","4"
"Wash Heavenly","2","4"
"Blindness Gun","4","4"
"Caper Motions","1","4"
"Groove Fiction","8","4"
"Mine Titans","8","4"
"Goldfinger Sensibility","5","4"
"Swarm Gold","9","4"
"Hyde Doctor","7","4"
"Flamingos Connecticut","2","4"
"Aladdin Calendar","2","4"
"Earring Instinct","4","4"
"Bingo Talented","4","4"
"Dancing Fever","6","4"
"Kissing Dolls","0","4"
"Comforts Rush","1","4"
"Paradise Sabrina","7","4"
"Egg Igby","6","4"
"Cider Desire","8","4"
"Cause Date","2","4"
"French Holiday","6","4"
"Juggler Hardly","9","4"
"Confessions Maguire","0","4"
"Words Hunter","4","4"
"Wrong Behavior","3","4"
"Tuxedo Mile","7","4"
"Secretary Rouge","7","4"
"Pride Alamo","2","4"
"Brotherhood Blanket","8","4"
"Jerk Paycheck","2","4"
"Fatal Haunted","3","4"
"Pocus Pulp","1","4"
"Microcosmos Paradise","6","4"
"Berets Agent","5","4"
"Hollow Jeopardy","3","4"
"Wonderland Christmas","5","4"
"Hyde Doctor","3","4"
"Paradise Sabrina","1","4"
"Sleepless Monsoon","4","4"
"Coneheads Smoochy","6","4"
"Lose Inch","6","4"
"Gathering Calendar","4","4"
"Amistad Midsummer","1","4"
"Clueless Bucket","1","4"
"Slums Duck","2","4"
"Rings Heartbreakers","8","4"
"Pelican Comforts","7","4"
"Carrie Bunch","2","4"
"Forrester Comancheros","1","4"
"Seabiscuit Punk","5","4"
